time,open,high,low,close,MA,Smoothing Line,MA,Smoothing Line,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,Volume,Volume MA
2022-12-05T07:52:00-05:00,1.05732,1.05759,1.0573,1.05753,1.057126999999999,1.0566912999999982,1.0567041999999984,1.0564519559999963,1.0555639393409268,1.0570685853841795,1.0540592932976742,1.058573231427432,1.0525546472544216,1.0600778774706847,1.051050001211169,213,230.1
2022-12-05T07:53:00-05:00,1.05753,1.05789,1.05753,1.05783,1.0572579999999991,1.0567789999999984,1.0567243999999985,1.0564685679999963,1.0555673349885426,1.0570732747706064,1.0540613952064788,1.0585792145526702,1.052555455424415,1.060085154334734,1.0510495156423512,249,228.1
2022-12-05T07:54:00-05:00,1.05783,1.05804,1.05773,1.05804,1.057390999999999,1.0568772999999982,1.0567453999999985,1.0564844839999963,1.0555714073741942,1.0570792498418826,1.0540635649065058,1.058587092309571,1.0525557224388173,1.0600949347772595,1.051047879971129,276,230.3
2022-12-05T07:55:00-05:00,1.05804,1.0593,1.05803,1.0593,1.0576409999999992,1.0569976999999982,1.0567963999999985,1.056500459999996,1.055583037161149,1.0571008953016068,1.0540651790206912,1.0586187534420646,1.0525473208802334,1.0601366115825224,1.0510294627397756,567,245.7
2022-12-05T07:56:00-05:00,1.0593,1.05941,1.05898,1.05938,1.0578849999999993,1.0571359999999983,1.0568463999999984,1.0565164799999962,1.0555958498496272,1.057126458501166,1.0540652411980884,1.0586570671527047,1.0525346325465497,1.0601876758042434,1.051004023895011,564,262.45
2022-12-05T07:57:00-05:00,1.05938,1.05947,1.05935,1.05942,1.058109999999999,1.0572889999999984,1.0569015999999984,1.0565327559999962,1.0556021190307148,1.0571392620573274,1.054064976004102,1.0586764050839401,1.0525278329774894,1.0602135481105528,1.0509906899508767,266,262.5
2022-12-05T07:58:00-05:00,1.05942,1.05948,1.05936,1.05937,1.058287999999999,1.0574473999999983,1.0569479999999984,1.0565489999999962,1.055608327868179,1.057151866622399,1.054064789113959,1.0586954053766189,1.052521250359739,1.0602389441308389,1.050977711605519,265,260.65
2022-12-05T07:59:00-05:00,1.05937,1.05939,1.0589,1.05898,1.0584449999999992,1.0576089999999982,1.0569861999999983,1.0565650799999962,1.0556192595027578,1.0571726339663148,1.0540658850392008,1.0587260084298717,1.0525125105756439,1.0602793828934287,1.050959136112087,511,277.75
2022-12-05T08:00:00-05:00,1.05898,1.05911,1.05871,1.05877,1.0585939999999991,1.0577753999999984,1.0570227999999984,1.056581267999996,1.055628521640924,1.0571893048520435,1.0540677384298045,1.058750088063163,1.052506955218685,1.0603108712742826,1.0509461720075655,466,288.05
2022-12-05T08:01:00-05:00,1.05877,1.05879,1.05856,1.05867,1.0587289999999991,1.0579467999999985,1.0570589999999984,1.0565976519999962,1.055637171568448,1.0572041388033897,1.0540702043335064,1.0587711060383314,1.0525032370985647,1.060338073273273,1.050936269863623,465,303.5
2022-12-05T08:02:00-05:00,1.05867,1.05914,1.05865,1.05913,1.0588889999999993,1.0581229999999984,1.0571061999999984,1.0566145919999963,1.0556445944353348,1.0572176907246214,1.0540714981460482,1.058790787013908,1.0524984018567616,1.0603638833031945,1.050925305567475,365,311.65
2022-12-05T08:03:00-05:00,1.05913,1.05914,1.05867,1.059,1.0590059999999994,1.0582977999999985,1.0571533999999985,1.0566321519999962,1.0556507237673383,1.0572287494916208,1.0540726980430557,1.0588067752159034,1.0524946723187731,1.060384800940186,1.0509166465944906,306,319.35
2022-12-05T08:04:00-05:00,1.059,1.05918,1.05885,1.05917,1.0591189999999993,1.0584705999999986,1.0572079999999984,1.0566505719999961,1.0556572582610668,1.057240823986817,1.0540736925353167,1.058824389712567,1.0524901268095666,1.0604079554383172,1.0509065610838164,315,325.25
2022-12-05T08:05:00-05:00,1.05917,1.05937,1.0591599999999999,1.0593,1.0591189999999993,1.0586183999999985,1.0572669999999984,1.0566700319999962,1.0556651756963928,1.0572560209489428,1.054074330443843,1.0588468662014927,1.052483485191293,1.0604377114540426,1.050892639938743,361,333.2
2022-12-05T08:06:00-05:00,1.0593,1.05939,1.0592,1.0592,1.0591009999999992,1.0587399999999987,1.0573277999999986,1.0566906799999962,1.0556736805908193,1.057272222507738,1.0540751386739007,1.0588707644246567,1.052476596756982,1.0604693063415753,1.0508780548400634,391,344.35
2022-12-05T08:07:00-05:00,1.0592,1.05923,1.05895,1.05904,1.0590629999999992,1.0588352999999988,1.0573837999999984,1.0567122759999963,1.0556826788818616,1.0572886311923393,1.054076726571384,1.058894583502817,1.0524707742609063,1.0605005358132946,1.0508648219504286,439,356.55
2022-12-05T08:08:00-05:00,1.05904,1.05912,1.05882,1.05888,1.059013999999999,1.0589078999999986,1.0574391999999984,1.0567348279999964,1.0556877183213338,1.0572975264997013,1.0540779101429663,1.0589073346780689,1.0524681019645987,1.0605171428564364,1.0508582937862312,257,357.4
2022-12-05T08:09:00-05:00,1.05888,1.05913,1.05873,1.05875,1.0589909999999991,1.0589624999999985,1.0574895999999985,1.0567581319999961,1.0556932068933054,1.057307037375366,1.0540793764112448,1.0589208678574265,1.0524655459291843,1.060534698339487,1.0508517154471237,287,353.95
2022-12-05T08:10:00-05:00,1.05875,1.05912,1.05874,1.05895,1.0590089999999992,1.0590039999999985,1.0575387999999983,1.0567819919999963,1.0557006938348883,1.057320158087261,1.0540812295825155,1.058939622339634,1.0524617653301427,1.0605590865920067,1.0508423010777699,385,359.1
2022-12-05T08:11:00-05:00,1.05895,1.05913,1.05891,1.05906,1.059047999999999,1.0590358999999987,1.0575841999999982,1.0568062239999962,1.0557092438169164,1.0573353916730275,1.0540830959608054,1.0589615395291385,1.0524569481046944,1.0605876873852496,1.0508308002485833,429,368.85
2022-12-05T08:12:00-05:00,1.05906,1.05907,1.05848,1.05859,1.058993999999999,1.0590463999999986,1.0576187999999984,1.0568306159999963,1.055715768951532,1.0573461592714772,1.0540853786315867,1.0589765495914225,1.0524549883116414,1.0606069399113678,1.0508245979916961,364,376.4
2022-12-05T08:13:00-05:00,1.05859,1.05873,1.05848,1.05859,1.0589529999999991,1.0590410999999986,1.0576537999999982,1.0568550879999963,1.0557200481240938,1.0573530063674321,1.0540870898807555,1.0589859646107704,1.0524541316374172,1.0606189228541087,1.0508211733940789,249,376.4
2022-12-05T08:14:00-05:00,1.05859,1.05875,1.05853,1.05871,1.0589069999999992,1.0590198999999985,1.0576955999999982,1.0568798959999963,1.0557248280320202,1.0573607583226947,1.0540888977413456,1.0589966886133693,1.052452967450671,1.0606326189040438,1.0508170371599965,273,376.25
2022-12-05T08:15:00-05:00,1.05871,1.05892,1.05856,1.05877,1.058853999999999,1.0589933999999983,1.0577325999999985,1.0569048559999963,1.0557322242332532,1.0573729694366947,1.0540914790298117,1.0590137146401362,1.0524507338263702,1.0606544598435776,1.0508099886229287,412,368.5
2022-12-05T08:16:00-05:00,1.05877,1.05886,1.05862,1.0587199999999999,1.058805999999999,1.0589638999999984,1.0577679999999985,1.0569298759999963,1.0557370250120963,1.0573808385834997,1.054093211440693,1.0590246521549032,1.0524493978692895,1.0606684657263066,1.050805584297886,270,353.8
